allele_name,pipeline_names,similar_names
IGLV6-43U5*14, IGLV6-43U5*14, 
IGLV6-T6U4*01, IGLV6-T6U4*01, 
IGLV6-T6U4*02, IGLV6-T6U4*02, 
IGLV6-T6U4*03, IGLV6-T6U4*03, 
IGLV6-T6U4*06, IGLV6-T6U4*06, 
IGLV6-T6U4*07, IGLV6-T6U4*07, 
IGLV6-T6U4*08, IGLV6-T6U4*08, 
IGLV6-T6U4*09, IGLV6-T6U4*09, 
IGLV7-63DH*01, IGLV7-63DH*01, 
IGLV7-63DH*02, IGLV7-63DH*02, 
IGLV7-BWVJ*01, IGLV7-BWVJ*01, 
IGLV7-BWVJ*03, IGLV7-BWVJ*03, 
IGLV7-BWVJ*04, IGLV7-BWVJ*04, 
IGLV7-M5JX*01, IGLV7-M5JX*01, 
IGLV7-NDLJ*01, IGLV7-NDLJ*01, 
IGLV7-NDLJ*02, IGLV7-NDLJ*02, 
IGLV7-NDLJ*03, IGLV7-NDLJ*03, 
IGLV7-SWRX*01, IGLV7-SWRX*01, 
IGLV7-SWRX*02, IGLV7-SWRX*02, 
IGLV7-SWRX*03, IGLV7-SWRX*03, 
IGLV7-SWRX*04, IGLV7-SWRX*04, 
IGLV7-V4Q3*01, IGLV7-V4Q3*01, 
IGLV7-V4Q3*05, IGLV7-V4Q3*05, 
IGLV7-V4Q3*06, IGLV7-V4Q3*06, 
IGLV7-V4Q3*07, IGLV7-V4Q3*07, 
IGLV7-YFQ2*01, IGLV7-YFQ2*01, 
IGLV7-YFQ2*07, IGLV7-YFQ2*07, 
IGLV7-YFQ2*08, IGLV7-YFQ2*08, 
IGLV7-YPNG*02, IGLV7-YPNG*02, 
IGLV7-YPNG*03, IGLV7-YPNG*03, 
IGLV7-YPNG*04, IGLV7-YPNG*04, 
IGLV7-YPNG*05, IGLV7-YPNG*05, 
IGLV7-YPNG*08, IGLV7-YPNG*08, 
IGLV7-ZQKQ*02, IGLV7-ZQKQ*02, 
IGLV8-JHDX*01, IGLV8-JHDX*01, 
IGLV8-JHDX*03, IGLV8-JHDX*03, 
IGLV8-QYQW*02, IGLV8-QYQW*02, 
IGLV8-QYQW*03, IGLV8-QYQW*03, 
IGLV8-QYQW*07, IGLV8-QYQW*07, 
IGLV8-QYQW*08, IGLV8-QYQW*08, 
IGLV8-QYQW*09, IGLV8-QYQW*09, 
IGLV9-DGNA*01, IGLV9-DGNA*01, 
IGLV9-DGNA*02, IGLV9-DGNA*02, 
IGLV9-DGNA*04, IGLV9-DGNA*04, 
IGLV9-NPLJ*01, IGLV9-NPLJ*01, 
