allele_name,pipeline_names,similar_names
IGHV3-JU2I*04, IGHV3-JU2I*04, 
IGHV3-L7BK*01, IGHV3-L7BK*01, 
IGHV3-L7BK*02, IGHV3-L7BK*02, 
IGHV3-L7BK*06, IGHV3-L7BK*06, 
IGHV3-L7BK*08, IGHV3-L7BK*08, 
IGHV3-L7BK*13, IGHV3-L7BK*13, 
IGHV3-LT3H*02, IGHV3-LT3H*02, 
IGHV3-LT3H*06, IGHV3-LT3H*06, 
IGHV3-LT3H*07, IGHV3-LT3H*07, 
IGHV3-LT3H*08, IGHV3-LT3H*08, 
IGHV3-LT3H*09, IGHV3-LT3H*09, 
IGHV3-M5YN*02, IGHV3-M5YN*02, 
IGHV3-MCXM*01, IGHV3-MCXM*01, 
IGHV3-MCXM*02, IGHV3-MCXM*02, 
IGHV3-MCXM*03, IGHV3-MCXM*03, 
IGHV3-MCXM*04, IGHV3-MCXM*04, 
IGHV3-MCXM*06, IGHV3-MCXM*06, 
IGHV3-MCXM*07, IGHV3-MCXM*07, 
IGHV3-MCXM*09, IGHV3-MCXM*09, 
IGHV3-MCXM*12, IGHV3-MCXM*12, 
IGHV3-MEBQ*02, IGHV3-MEBQ*02, 
IGHV3-MEBQ*04, IGHV3-MEBQ*04, 
IGHV3-MEBQ*07, IGHV3-MEBQ*07, 
IGHV3-MEBQ*08, IGHV3-MEBQ*08, 
IGHV3-MGEX*03, IGHV3-MGEX*03, 
IGHV3-NL4W*01, IGHV3-NL4W*01, 
IGHV3-NL4W*02, IGHV3-NL4W*02, 
IGHV3-NL4W*03, IGHV3-NL4W*03, 
IGHV3-NL4W*04, IGHV3-NL4W*04, 
IGHV3-NL4W*05, IGHV3-NL4W*05, 
IGHV3-NL4W*06, IGHV3-NL4W*06, 
IGHV3-O76Z*03, IGHV3-O76Z*03, 
IGHV3-O76Z*04, IGHV3-O76Z*04, 
IGHV3-O76Z*05, IGHV3-O76Z*05, 
IGHV3-O76Z*06, IGHV3-O76Z*06, 
IGHV3-OCID*04, IGHV3-OCID*04, 
IGHV3-OCID*05, IGHV3-OCID*05, 
IGHV3-PHO7*01, IGHV3-PHO7*01, 
IGHV3-PHO7*02, IGHV3-PHO7*02, 
IGHV3-PHO7*05, IGHV3-PHO7*05, 
IGHV3-PHO7*06, IGHV3-PHO7*06, 
IGHV3-R7MJ*01, IGHV3-R7MJ*01, 
IGHV3-R7MJ*02, IGHV3-R7MJ*02, 
IGHV3-R7MJ*03, IGHV3-R7MJ*03, 
IGHV3-R7MJ*08, IGHV3-R7MJ*08, 
IGHV3-RSQ5*03, IGHV3-RSQ5*03, 
IGHV3-RSQ5*08, IGHV3-RSQ5*08, 
IGHV3-TQFW*01, IGHV3-TQFW*01, 
IGHV3-WOIZ*03, IGHV3-WOIZ*03, 
IGHV3-X5LH*03, IGHV3-X5LH*03, 
IGHV3-X5LH*04, IGHV3-X5LH*04, 
IGHV3-X5LH*05, IGHV3-X5LH*05, 
IGHV3-X5LH*07, IGHV3-X5LH*07, 
IGHV3-X5LH*09, IGHV3-X5LH*09, 
IGHV3-X5LH*10, IGHV3-X5LH*10, 
IGHV3-X5LH*18, IGHV3-X5LH*18, 
IGHV3-X5LH*20, IGHV3-X5LH*20, 
IGHV3-XVTV*01, IGHV3-XVTV*01, 
IGHV3-XVTV*03, IGHV3-XVTV*03, 
IGHV3-XVTV*04, IGHV3-XVTV*04, 
IGHV3-XVTV*05, IGHV3-XVTV*05, 
IGHV3-XVTV*06, IGHV3-XVTV*06, 
IGHV3-XVTV*08, IGHV3-XVTV*08, 
IGHV3-XVTV*09, IGHV3-XVTV*09, 
IGHV4-2QEK*05, IGHV4-2QEK*05, 
IGHV4-2QEK*06, IGHV4-2QEK*06, 
IGHV4-2QEK*07, IGHV4-2QEK*07, 
IGHV4-4M7V*04, IGHV4-4M7V*04, 
